,movie_id,similar_movie_id
425,786705,16859
426,786705,17281
427,786705,43923
428,786705,14
429,653349,30636
430,653349,25195
431,653349,25538
432,653349,27578
433,653349,27584
434,808,26648
435,808,23398
436,808,31442
437,808,26338
438,808,27793
439,98566,65759
440,98566,68718
441,98566,68721
442,98566,68726
443,98566,68728
444,438695,34584
445,438695,20352
446,438695,17130
447,438695,16859
448,438695,22794
449,360920,29427
450,360920,31011
451,360920,27793
452,360920,17979
453,360920,21832
454,826914,11281
455,826914,11299
456,826914,11449
457,826914,10756
458,826914,141
459,18785,68726
460,18785,89492
461,18785,97430
462,18785,81188
463,18785,71668
464,454626,22821
465,454626,22824
466,454626,22881
467,454626,22947
468,454626,22949
469,347626,74018
470,347626,57214
471,347626,72478
472,347626,64635
473,347626,64639
474,400155,75761
475,400155,73723
476,400155,49519
477,400155,55301
478,400155,62211
479,383498,22821
480,383498,22824
481,383498,22855
482,383498,22881
483,383498,22947
484,106646,68734
485,106646,100241
486,106646,81796
487,106646,97367
488,106646,72570
489,193893,65754
490,193893,97020
491,193893,97051
492,193893,84199
493,193893,97367
494,57214,30636
495,57214,23202
496,57214,23367
497,57214,26123
498,57214,27769
499,893204,70868
500,893204,95610
501,893204,110415
502,893204,110420
503,893204,181886
504,734265,59962
505,734265,50393
506,734265,91417
507,734265,78080
508,734265,81188
509,177572,22804
510,177572,22821
511,177572,22824
512,177572,22832
513,177572,22855
514,50546,22971
515,50546,16538
516,50546,16553
517,50546,19265
518,50546,18377
519,578908,25195
520,578908,23202
521,578908,19908
522,578908,27581
523,578908,34647
524,593910,15969
525,593910,27586
526,593910,17281
527,593910,23367
528,593910,22586
529,809,58595
530,809,75258
531,809,75656
532,809,73723
533,809,74997
534,75624,75629
535,75624,73245
536,75624,66105
537,75624,83088
538,654028,22821
539,654028,38700
540,654028,15969
541,654028,19286
542,654028,19288
543,49519,71668
544,49519,64328
545,49519,73723
546,49519,72545
547,49519,82650
548,301528,22620
549,301528,28178
550,301528,25472
551,301528,25475
552,301528,21705
553,727745,22971
554,727745,27310
555,727745,32657
556,727745,27793
557,727745,25018
558,446893,74997
559,446893,55301
560,446893,54113
561,446893,54138
562,446893,77499
563,45682,62177
564,45682,67900
565,45682,54318
566,45682,64807
567,45682,65759
568,35,30636
569,35,22947
570,35,22949
571,35,22954
572,35,23398
573,662237,22971
574,662237,32657
575,662237,35052
576,662237,24418
577,662237,24420
578,43347,72105
579,43347,74465
580,43347,82693
581,43347,89492
582,43347,76492
583,643586,26515
584,643586,22970
585,643586,25961
586,643586,19908
587,643586,19994
588,677638,25195
589,677638,29896
590,677638,19908
591,677638,25472
592,677638,20312
593,2062,22824
594,2062,21191
595,2062,26389
596,2062,35056
597,2062,16859
598,425,76163
599,425,73723
600,425,49519
601,425,62204
602,425,62211
603,10358,22804
604,10358,22824
605,10358,22881
606,10358,22947
607,10358,22949
608,785516,264660
609,785516,723072
610,785516,792657
611,785516,740985
612,785516,684420
613,454699,22970
614,454699,23202
615,454699,29896
616,454699,19901
617,454699,40264
618,72105,22821
619,72105,22971
620,72105,28178
621,72105,16553
622,72105,22620
623,18240,62177
624,18240,68726
625,18240,89492
626,18240,89899
627,18240,73935
628,660982,30636
629,660982,26123
630,660982,27769
631,660982,16996
632,660982,19840
633,26123,30636
634,26123,27769
635,26123,16996
636,26123,19840
637,11249,26515
638,11249,23202
639,11249,26466
640,11249,19959
641,11249,21610
642,615678,71676
643,615678,68721
644,615678,76493
645,615678,98566
646,615678,102899
647,615677,30675
648,615677,22620
649,615677,19724
650,615677,25538
651,615677,40662
652,38365,22620
653,38365,28178
654,38365,19913
655,38365,27581
656,38365,25475
657,9637,11186
658,9637,11187
659,9637,11249
660,9637,253
661,9637,5175
662,118,64807
663,118,65754
664,118,68730
665,118,68737
666,118,83770
667,776909,62177
668,776909,67900
669,776909,64807
670,776909,65759
671,776909,91417
672,788905,314572
673,788905,588009
674,788905,46788
675,788905,441875
676,785539,74465
677,785539,49524
678,785539,49530
679,785539,72105
680,785539,82695
681,512200,58595
682,512200,75258
683,512200,75656
684,512200,75736
685,512200,49519
686,8355,75258
687,8355,75736
688,8355,73723
689,8355,49519
690,8355,49529
691,45243,75258
692,45243,75736
693,45243,75761
694,45243,49519
695,45243,75802
696,257344,65759
697,257344,68726
698,257344,68728
699,257344,68734
700,257344,68735
701,4247,30636
702,4247,26466
703,4247,26123
704,4247,27769
705,4247,19908
706,662546,91417
707,662546,78080
708,662546,81188
709,662546,79113
710,662546,11224
711,112679,40264
712,112679,36593
713,112679,37137
714,112679,11891
715,112679,11198
716,10193,58574
717,10193,75258
718,10193,75656
719,10193,75736
720,10193,73723
721,82690,22947
722,82690,22949
723,82690,22954
724,82690,23398
